trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
176,False,"{'a': 0.75, 'e': 0.21689522948326365}",20,13,15.612638463185316,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.75, 'e': 0.21503046793402564}",20,0,14.42249552008623,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.75, 'e': 0.21318173871359355}",25,0,-86.38583251215546,"{0: 19, 1: 3, 2: 0, 3: 1, 4: 2}",0
179,False,"{'a': 0.75, 'e': 0.21134890398366463}",35,17,35.57458015263758,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.75, 'e': 0.20953182709100412}",25,12,12.392471059728633,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.75, 'e': 0.20773037255725632}",25,0,-7.262245222516802,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
182,False,"{'a': 0.75, 'e': 0.20594440606884376}",20,0,-15.612542542747475,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
183,False,"{'a': 0.75, 'e': 0.2041737944669529}",25,17,-5.398556956519854,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
184,False,"{'a': 0.75, 'e': 0.20241840573760614}",20,7,-13.388246305877189,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
185,False,"{'a': 0.75, 'e': 0.20067810900181887}",25,5,25.997984196256184,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.75, 'e': 0.19895277450584156}",25,20,7.317063724009399,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.75, 'e': 0.19724227361148536}",25,12,5.90681916659314,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.75, 'e': 0.19554647878653109}",25,2,-64.91381834799134,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 2}",1
189,False,"{'a': 0.75, 'e': 0.19386526359522072}",25,5,0.9506977872805122,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
190,False,"{'a': 0.75, 'e': 0.1921985026888304}",30,15,-5.388558612303682,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
191,False,"{'a': 0.75, 'e': 0.19054607179632468}",25,10,15.067945813333797,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
192,False,"{'a': 0.75, 'e': 0.18890784771509125}",20,10,-37.486138884404035,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
193,False,"{'a': 0.75, 'e': 0.18728370830175484}",25,0,-9.298458722128547,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
194,False,"{'a': 0.75, 'e': 0.18567353246307058}",35,0,34.43397744130799,"{0: 33, 1: 1, 2: 1, 3: 0, 4: 0}",1
