trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
202,False,"{'a': 0.75, 'e': 0.469342547310007}",30,7,-49.06396942162646,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 1}",1
203,False,"{'a': 0.75, 'e': 0.46758830311821903}",20,0,-101.85031726336793,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
204,False,"{'a': 0.75, 'e': 0.46584061569973456}",20,0,28.15238544663069,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
205,False,"{'a': 0.75, 'e': 0.4640994605475458}",20,11,1.155615321509171,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
206,False,"{'a': 0.75, 'e': 0.4623648132462439}",25,0,-64.06931456608265,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
207,False,"{'a': 0.75, 'e': 0.46063664947167643}",30,0,-11.460898311477855,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
208,False,"{'a': 0.75, 'e': 0.4589149449906066}",30,0,-7.793113994394923,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
209,False,"{'a': 0.75, 'e': 0.4571996756603732}",30,0,-56.22796898647816,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
210,False,"{'a': 0.75, 'e': 0.45549081742855213}",30,0,-44.73186606624981,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
211,False,"{'a': 0.75, 'e': 0.4537883463326192}",25,0,-98.4686803756413,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
212,False,"{'a': 0.75, 'e': 0.4520922384996141}",30,16,-24.37341068318787,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
213,False,"{'a': 0.75, 'e': 0.4504024701458055}",20,0,-45.15116007148382,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
214,False,"{'a': 0.75, 'e': 0.44871901757635757}",20,0,-12.862046388531551,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
215,False,"{'a': 0.75, 'e': 0.447041857184998}",30,13,-20.46106438054643,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
216,False,"{'a': 0.75, 'e': 0.44537096545368665}",25,0,-19.219646205815998,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
217,False,"{'a': 0.75, 'e': 0.44370631895228585}",20,0,-35.03084800309641,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
218,False,"{'a': 0.75, 'e': 0.44204789433823194}",20,9,-42.729723027126866,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
219,False,"{'a': 0.75, 'e': 0.44039566835620786}",25,0,-25.611603500283316,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
220,False,"{'a': 0.75, 'e': 0.43874961783781713}",20,12,14.942976920101634,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.75, 'e': 0.43710971970125884}",25,0,14.495182752457492,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
222,False,"{'a': 0.75, 'e': 0.43547595095100416}",20,0,19.554954694017255,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
223,False,"{'a': 0.75, 'e': 0.43384828867747377}",30,0,-2.301691746767345,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",1
224,False,"{'a': 0.75, 'e': 0.4322267100567166}",25,17,2.4070543535966182,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
225,False,"{'a': 0.75, 'e': 0.4306111923500898}",35,0,-33.90157478610229,"{0: 29, 1: 2, 2: 2, 3: 2, 4: 0}",1
226,False,"{'a': 0.75, 'e': 0.42900171290394}",20,0,-20.74282759224871,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
227,False,"{'a': 0.75, 'e': 0.4273982491492854}",20,13,13.193266109975658,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.75, 'e': 0.4258007786014996}",25,13,-24.761620134507282,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
229,False,"{'a': 0.75, 'e': 0.4242092788599961}",20,0,-58.12277074996772,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
230,False,"{'a': 0.75, 'e': 0.4226237276079141}",20,0,-113.26947222523312,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
231,False,"{'a': 0.75, 'e': 0.4210441026118059}",20,6,12.939427974757054,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
232,False,"{'a': 0.75, 'e': 0.41947038172132484}",25,13,7.0111204943249135,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
233,False,"{'a': 0.75, 'e': 0.41790254286891476}",20,0,-29.670567089585127,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
