trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.75, 'e': 0.9736624531658813}",25,0,-50.86500161699032,"{0: 17, 1: 5, 2: 1, 3: 2, 4: 0}",0
121,False,"{'a': 0.75, 'e': 0.9732272838892848}",20,0,-63.65745299474764,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
122,False,"{'a': 0.75, 'e': 0.9727885976774726}",30,0,-137.64293150612025,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
123,False,"{'a': 0.75, 'e': 0.9723463961157176}",20,0,-52.19848658571216,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
124,False,"{'a': 0.75, 'e': 0.9719006808019962}",20,0,-98.81596661460681,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
125,False,"{'a': 0.75, 'e': 0.9714514533469826}",30,0,-163.2346081809163,"{0: 18, 1: 1, 2: 6, 3: 4, 4: 1}",0
126,False,"{'a': 0.75, 'e': 0.9709987153740423}",20,0,-126.14462860217783,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
127,False,"{'a': 0.75, 'e': 0.970542468519227}",25,0,-122.55440088105127,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
128,False,"{'a': 0.75, 'e': 0.9700827144312685}",20,0,-80.41522832692961,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
129,False,"{'a': 0.75, 'e': 0.9696194547715724}",20,0,-74.7729799757774,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
130,False,"{'a': 0.75, 'e': 0.9691526912142124}",20,0,-128.0229981437455,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
131,False,"{'a': 0.75, 'e': 0.9686824254459243}",20,0,-27.346767956499804,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
132,False,"{'a': 0.75, 'e': 0.9682086591660996}",25,0,-123.65843278918541,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
133,False,"{'a': 0.75, 'e': 0.9677313940867794}",30,0,-139.2975670018729,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
134,False,"{'a': 0.75, 'e': 0.9672506319326489}",20,1,-11.240389215710564,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.75, 'e': 0.9667663744410302}",20,0,-23.6587568039903,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
136,False,"{'a': 0.75, 'e': 0.9662786233618763}",25,15,-39.00073702693679,"{0: 6, 1: 2, 2: 0, 3: 2, 4: 0}",1
137,False,"{'a': 0.75, 'e': 0.9657873804577655}",20,0,-101.2381937891966,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
138,False,"{'a': 0.75, 'e': 0.9652926475038938}",25,0,-100.28649932457591,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
139,False,"{'a': 0.75, 'e': 0.9647944262880696}",25,0,-123.16753014179582,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
140,False,"{'a': 0.75, 'e': 0.9642927186107064}",25,0,-145.7601842212714,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
141,False,"{'a': 0.75, 'e': 0.9637875262848171}",25,0,-167.19371768641696,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
142,False,"{'a': 0.75, 'e': 0.9632788511360068}",20,8,-37.67668064765213,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
143,False,"{'a': 0.75, 'e': 0.9627666950024663}",20,0,-94.99723033153752,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
